"","case","id","sex","deg","yrdeg","field","startyr","year","rank","admin","salary"
"2230",2230,200,"M","PhD",67,"Other",86,93,"Full",1,9143
"2231",2231,200,"M","PhD",67,"Other",86,94,"Full",1,9143
"2232",2232,200,"M","PhD",67,"Other",86,95,"Full",1,10342
"2233",2233,201,"M","PhD",69,"Arts",69,76,"Assoc",0,1803
"2234",2234,201,"M","PhD",69,"Arts",69,77,"Assoc",0,2058
"2235",2235,201,"M","PhD",69,"Arts",69,78,"Assoc",0,2176
"2236",2236,201,"M","PhD",69,"Arts",69,79,"Assoc",0,2411
"2237",2237,201,"M","PhD",69,"Arts",69,80,"Assoc",0,2597
"2238",2238,201,"M","PhD",69,"Arts",69,81,"Full",0,2920
"2239",2239,201,"M","PhD",69,"Arts",69,83,"Full",0,3310
"2240",2240,201,"M","PhD",69,"Arts",69,84,"Full",0,3586
"2241",2241,201,"M","PhD",69,"Arts",69,85,"Full",0,3586
"2242",2242,201,"M","PhD",69,"Arts",69,86,"Full",0,4383
"2243",2243,201,"M","PhD",69,"Arts",69,87,"Full",0,4603
"2244",2244,201,"M","PhD",69,"Arts",69,88,"Full",0,4736
"2245",2245,201,"M","PhD",69,"Arts",69,89,"Full",0,5068
"2246",2246,201,"M","PhD",69,"Arts",69,90,"Full",1,5780
"2247",2247,201,"M","PhD",69,"Arts",69,91,"Full",1,6048
"2248",2248,201,"M","PhD",69,"Arts",69,92,"Full",1,6223
"2249",2249,201,"M","PhD",69,"Arts",69,93,"Full",1,6404
"2250",2250,201,"M","PhD",69,"Arts",69,94,"Full",1,6404
"2251",2251,201,"M","PhD",69,"Arts",69,95,"Full",1,6781
"2252",2252,202,"M","PhD",75,"Prof",91,91,"Assoc",0,7274
"2253",2253,202,"M","PhD",75,"Prof",91,92,"Assoc",0,7588
"2254",2254,202,"M","PhD",75,"Prof",91,93,"Assoc",0,7868
"2255",2255,202,"M","PhD",75,"Prof",91,94,"Assoc",0,7868
"2256",2256,202,"M","PhD",75,"Prof",91,95,"Assoc",0,8230
"2257",2257,203,"M","PhD",75,"Other",84,84,"Assoc",0,4468
"2258",2258,203,"M","PhD",75,"Other",84,85,"Assoc",0,4468
"2259",2259,203,"M","PhD",75,"Other",84,86,"Full",0,6488
"2260",2260,203,"M","PhD",75,"Other",84,87,"Full",0,6781
"2261",2261,203,"M","PhD",75,"Other",84,88,"Full",0,7235
"2262",2262,203,"M","PhD",75,"Other",84,89,"Full",0,7142
"2263",2263,203,"M","PhD",75,"Other",84,90,"Full",0,8281
"2264",2264,203,"M","PhD",75,"Other",84,91,"Full",0,9089
"2265",2265,203,"M","PhD",75,"Other",84,92,"Full",0,9576
"2266",2266,203,"M","PhD",75,"Other",84,93,"Full",0,9286
"2267",2267,203,"M","PhD",75,"Other",84,94,"Full",0,9286
"2268",2268,203,"M","PhD",75,"Other",84,95,"Full",0,9687
"2269",2269,205,"M","PhD",92,"Other",92,92,"Assist",0,7778
"2270",2270,205,"M","PhD",92,"Other",92,93,"Assist",0,7778
"2271",2271,205,"M","PhD",92,"Other",92,94,"Assist",0,7778
"2272",2272,205,"M","PhD",92,"Other",92,95,"Assist",0,8392
"2273",2273,206,"M","PhD",78,"Other",81,81,"Assist",0,2420
"2274",2274,206,"M","PhD",78,"Other",81,82,"Assist",0,2567
"2275",2275,206,"M","PhD",78,"Other",81,83,"Assist",0,2708
"2276",2276,206,"M","PhD",78,"Other",81,84,"Assist",0,3020
"2277",2277,206,"M","PhD",78,"Other",81,85,"Assist",0,3020
"2278",2278,206,"M","PhD",78,"Other",81,86,"Assoc",0,3537
"2279",2279,206,"M","PhD",78,"Other",81,87,"Assoc",0,3715
"2280",2280,206,"M","PhD",78,"Other",81,88,"Assoc",0,3822
"2281",2281,206,"M","PhD",78,"Other",81,89,"Assoc",0,4208
"2282",2282,206,"M","PhD",78,"Other",81,90,"Assoc",0,4405
"2283",2283,206,"M","PhD",78,"Other",81,91,"Assoc",0,4676
"2284",2284,206,"M","PhD",78,"Other",81,92,"Assoc",0,4812
"2285",2285,206,"M","PhD",78,"Other",81,93,"Assoc",0,4951
"2286",2286,206,"M","PhD",78,"Other",81,94,"Assoc",0,4951
"2287",2287,206,"M","PhD",78,"Other",81,95,"Full",0,5472
"2288",2288,207,"M","PhD",71,"Prof",84,84,"Assoc",0,4571
"2289",2289,207,"M","PhD",71,"Prof",84,85,"Assoc",0,4636
"2290",2290,207,"M","PhD",71,"Prof",84,86,"Assoc",0,5056
"2291",2291,207,"M","PhD",71,"Prof",84,87,"Full",0,5464
"2292",2292,207,"M","PhD",71,"Prof",84,88,"Full",0,5703
"2293",2293,207,"M","PhD",71,"Prof",84,89,"Full",0,6280
"2294",2294,207,"M","PhD",71,"Prof",84,90,"Full",0,7162
"2295",2295,207,"M","PhD",71,"Prof",84,91,"Full",0,7602
"2296",2296,207,"M","PhD",71,"Prof",84,92,"Full",0,7935
"2297",2297,207,"M","PhD",71,"Prof",84,93,"Full",0,8283
"2298",2298,207,"M","PhD",71,"Prof",84,94,"Full",0,8283
"2299",2299,207,"M","PhD",71,"Prof",84,95,"Full",0,8646
"2300",2300,208,"M","PhD",63,"Other",78,78,"Full",1,4000
"2301",2301,208,"M","PhD",63,"Other",78,79,"Full",1,4435
"2302",2302,208,"M","PhD",63,"Other",78,80,"Full",1,4772
"2303",2303,208,"M","PhD",63,"Other",78,81,"Full",1,5241
"2304",2304,208,"M","PhD",63,"Other",78,82,"Full",1,5341
"2305",2305,208,"M","PhD",63,"Other",78,83,"Full",1,5954
"2306",2306,208,"M","PhD",63,"Other",78,84,"Full",1,6553
"2307",2307,208,"M","PhD",63,"Other",78,85,"Full",1,6553
"2308",2308,208,"M","PhD",63,"Other",78,86,"Full",1,7126
"2309",2309,208,"M","PhD",63,"Other",78,87,"Full",1,7126
"2310",2310,208,"M","PhD",63,"Other",78,88,"Full",1,7701
"2311",2311,208,"M","PhD",63,"Other",78,89,"Full",1,8271
"2312",2312,208,"M","PhD",63,"Other",78,90,"Full",1,9067
"2313",2313,208,"M","PhD",63,"Other",78,91,"Full",1,9611
"2314",2314,208,"M","PhD",63,"Other",78,92,"Full",1,10326
"2315",2315,208,"M","PhD",63,"Other",78,93,"Full",1,10668
"2316",2316,208,"M","PhD",63,"Other",78,94,"Full",1,10668
"2317",2317,208,"M","PhD",63,"Other",78,95,"Full",0,10668
"2318",2318,209,"M","PhD",57,"Other",61,76,"Full",0,2267
"2319",2319,209,"M","PhD",57,"Other",61,77,"Full",0,2419
"2320",2320,209,"M","PhD",57,"Other",61,78,"Full",0,2502
"2321",2321,209,"M","PhD",57,"Other",61,79,"Full",0,2715
"2322",2322,209,"M","PhD",57,"Other",61,80,"Full",0,2869
"2323",2323,209,"M","PhD",57,"Other",61,81,"Full",0,3048
"2324",2324,209,"M","PhD",57,"Other",61,82,"Full",0,3048
"2325",2325,209,"M","PhD",57,"Other",61,83,"Full",0,3216
"2326",2326,209,"M","PhD",57,"Other",61,84,"Full",0,3386
"2327",2327,209,"M","PhD",57,"Other",61,85,"Full",0,3386
"2328",2328,209,"M","PhD",57,"Other",61,86,"Full",0,3487
"2329",2329,209,"M","PhD",57,"Other",61,87,"Full",0,3662
"2330",2330,209,"M","PhD",57,"Other",61,88,"Full",0,3877
"2331",2331,209,"M","PhD",57,"Other",61,89,"Full",0,4456
"2332",2332,209,"M","PhD",57,"Other",61,90,"Full",0,4598
"2333",2333,209,"M","PhD",57,"Other",61,91,"Full",0,5095
"2334",2334,209,"M","PhD",57,"Other",61,92,"Full",0,5472
"2335",2335,209,"M","PhD",57,"Other",61,93,"Full",0,5631
"2336",2336,209,"M","PhD",57,"Other",61,94,"Full",0,5631
"2337",2337,209,"M","PhD",57,"Other",61,95,"Full",0,6135
"2338",2338,210,"M","PhD",62,"Other",63,76,"Full",0,2196
"2339",2339,210,"M","PhD",62,"Other",63,77,"Full",0,2378
"2340",2340,210,"M","PhD",62,"Other",63,78,"Full",0,2502
"2341",2341,210,"M","PhD",62,"Other",63,79,"Full",0,2759
"2342",2342,210,"M","PhD",62,"Other",63,80,"Full",0,2917
"2343",2343,210,"M","PhD",62,"Other",63,81,"Full",0,3228
"2344",2344,210,"M","PhD",62,"Other",63,82,"Full",0,3228
"2345",2345,210,"M","PhD",62,"Other",63,84,"Full",0,3795
"2346",2346,210,"M","PhD",62,"Other",63,85,"Full",0,3795
"2347",2347,210,"M","PhD",62,"Other",63,86,"Full",0,3909
"2348",2348,210,"M","PhD",62,"Other",63,87,"Full",0,4105
"2349",2349,210,"M","PhD",62,"Other",63,88,"Full",1,4225
"2350",2350,210,"M","PhD",62,"Other",63,89,"Full",1,4651
"2351",2351,210,"M","PhD",62,"Other",63,90,"Full",1,4869
"2352",2352,210,"M","PhD",62,"Other",63,91,"Full",1,5318
"2353",2353,210,"M","PhD",62,"Other",63,92,"Full",1,5472
"2354",2354,210,"M","PhD",62,"Other",63,93,"Full",1,5631
"2355",2355,210,"M","PhD",62,"Other",63,94,"Full",1,5631
"2356",2356,210,"M","PhD",62,"Other",63,95,"Full",0,6048
"2357",2357,211,"M","PhD",65,"Prof",75,76,"Assoc",0,2160
"2358",2358,211,"M","PhD",65,"Prof",75,77,"Assoc",0,2337
"2359",2359,211,"M","PhD",65,"Prof",75,78,"Assoc",0,2460
"2360",2360,211,"M","PhD",65,"Prof",75,79,"Assoc",1,2805
"2361",2361,211,"M","PhD",65,"Prof",75,80,"Assoc",1,3058
"2362",2362,211,"M","PhD",65,"Prof",75,81,"Assoc",1,3568
"2363",2363,211,"M","PhD",65,"Prof",75,82,"Assoc",0,3568
"2364",2364,211,"M","PhD",65,"Prof",75,83,"Assoc",0,3873
"2365",2365,211,"M","PhD",65,"Prof",75,84,"Assoc",0,4135
"2366",2366,211,"M","PhD",65,"Prof",75,85,"Assoc",0,4135
"2367",2367,211,"M","PhD",65,"Prof",75,86,"Assoc",0,4259
"2368",2368,211,"M","PhD",65,"Prof",75,87,"Assoc",0,4473
"2369",2369,211,"M","PhD",65,"Prof",75,88,"Assoc",0,4669
"2370",2370,211,"M","PhD",65,"Prof",75,89,"Assoc",0,4996
"2371",2371,211,"M","PhD",65,"Prof",75,90,"Full",0,5305
"2372",2372,211,"M","PhD",65,"Prof",75,91,"Full",0,5794
"2373",2373,211,"M","PhD",65,"Prof",75,92,"Full",0,5962
"2374",2374,211,"M","PhD",65,"Prof",75,93,"Full",0,6135
"2375",2375,211,"M","PhD",65,"Prof",75,94,"Full",0,6134.693
"2376",2376,211,"M","PhD",65,"Prof",75,95,"Full",0,6223
"2377",2377,212,"F","PhD",92,"Other",92,92,"Assist",0,3939
"2378",2378,212,"F","PhD",92,"Other",92,93,"Assist",0,3939
"2379",2379,212,"F","PhD",92,"Other",92,94,"Assist",0,3939
"2380",2380,212,"F","PhD",92,"Other",92,95,"Assist",0,4171
"2381",2381,213,"F","PhD",73,"Other",91,91,"Assoc",0,3878
"2382",2382,213,"F","PhD",73,"Other",91,92,"Assoc",0,3991
"2383",2383,213,"F","PhD",73,"Other",91,93,"Assoc",0,4106
"2384",2384,213,"F","PhD",73,"Other",91,94,"Assoc",0,4106
"2385",2385,213,"F","PhD",73,"Other",91,95,"Assoc",0,4225
"2386",2386,214,"M","PhD",71,"Arts",71,76,"Assoc",0,1803
"2387",2387,214,"M","PhD",71,"Arts",71,77,"Assoc",0,1942
"2388",2388,214,"M","PhD",71,"Arts",71,78,"Assoc",0,1992.105
"2389",2389,214,"M","PhD",71,"Arts",71,79,"Assoc",0,2202
"2390",2390,214,"M","PhD",71,"Arts",71,80,"Assoc",0,2420
"2391",2391,214,"M","PhD",71,"Arts",71,81,"Full",0,2879
"2392",2392,214,"M","PhD",71,"Arts",71,82,"Full",0,2962
"2393",2393,214,"M","PhD",71,"Arts",71,83,"Full",0,3156.061
"2394",2394,214,"M","PhD",71,"Arts",71,84,"Full",0,3337
"2395",2395,214,"M","PhD",71,"Arts",71,85,"Full",0,3337
"2396",2396,214,"M","PhD",71,"Arts",71,86,"Full",0,3966
"2397",2397,214,"M","PhD",71,"Arts",71,87,"Full",0,4165
"2398",2398,214,"M","PhD",71,"Arts",71,88,"Full",1,4285
"2399",2399,214,"M","PhD",71,"Arts",71,89,"Full",0,4585
"2400",2400,214,"M","PhD",71,"Arts",71,90,"Full",0,4939
"2401",2401,214,"M","PhD",71,"Arts",71,91,"Full",0,5631
"2402",2402,214,"M","PhD",71,"Arts",71,92,"Full",0,5794
"2403",2403,214,"M","PhD",71,"Arts",71,93,"Full",0,6977
"2404",2404,214,"M","PhD",71,"Arts",71,94,"Full",0,6977
"2405",2405,214,"M","PhD",71,"Arts",71,95,"Full",0,7180
"2406",2406,215,"F","PhD",94,"Arts",94,94,"Assist",0,3828
"2407",2407,215,"F","PhD",94,"Arts",94,95,"Assist",0,3939
"2408",2408,216,"M","PhD",65,"Other",92,92,"Full",0,11826
"2409",2409,216,"M","PhD",65,"Other",92,93,"Full",0,11826
"2410",2410,216,"M","PhD",65,"Other",92,94,"Full",0,11826
"2411",2411,216,"M","PhD",65,"Other",92,95,"Full",0,12344
"2412",2412,217,"M","PhD",69,"Prof",86,86,"Full",0,9484
"2413",2413,217,"M","PhD",69,"Prof",86,87,"Full",0,9960
"2414",2414,217,"M","PhD",69,"Prof",86,88,"Full",0,9960
"2415",2415,217,"M","PhD",69,"Prof",86,89,"Full",0,10657
"2416",2416,217,"M","PhD",69,"Prof",86,90,"Full",0,11315
"2417",2417,217,"M","PhD",69,"Prof",86,91,"Full",0,12011
"2418",2418,217,"M","PhD",69,"Prof",86,92,"Full",0,12184
"2419",2419,217,"M","PhD",69,"Prof",86,93,"Full",0,12537
"2420",2420,217,"M","PhD",69,"Prof",86,94,"Full",0,12537
"2421",2421,217,"M","PhD",69,"Prof",86,95,"Full",0,12901
"2422",2422,218,"M","PhD",85,"Other",91,91,"Assist",0,3510
"2423",2423,218,"M","PhD",85,"Other",91,92,"Assist",0,3508.333
"2424",2424,218,"M","PhD",85,"Other",91,93,"Assist",0,3509
"2425",2425,218,"M","PhD",85,"Other",91,94,"Assist",0,3510
"2426",2426,218,"M","PhD",85,"Other",91,95,"Assist",0,3509
"2427",2427,219,"M","PhD",64,"Other",64,76,"Assoc",0,1982
"2428",2428,219,"M","PhD",64,"Other",64,77,"Assoc",0,2096
"2429",2429,219,"M","PhD",64,"Other",64,78,"Assoc",0,2176
"2430",2430,219,"M","PhD",64,"Other",64,79,"Assoc",0,2454
"2431",2431,219,"M","PhD",64,"Other",64,80,"Assoc",0,2642
"2432",2432,219,"M","PhD",64,"Other",64,81,"Assoc",0,2838
"2433",2433,219,"M","PhD",64,"Other",64,82,"Assoc",0,2879
"2434",2434,219,"M","PhD",64,"Other",64,83,"Assoc",0,3081
"2435",2435,219,"M","PhD",64,"Other",64,84,"Assoc",0,3290
"2436",2436,219,"M","PhD",64,"Other",64,85,"Assoc",0,3290
"2437",2437,219,"M","PhD",64,"Other",64,86,"Assoc",0,3588
"2438",2438,219,"M","PhD",64,"Other",64,87,"Assoc",0,3768
"2439",2439,219,"M","PhD",64,"Other",64,88,"Assoc",0,3933
"2440",2440,219,"M","PhD",64,"Other",64,89,"Assoc",0,4149
"2441",2441,219,"M","PhD",64,"Other",64,90,"Assoc",0,4281
"2442",2442,219,"M","PhD",64,"Other",64,91,"Assoc",0,4480
"2443",2443,219,"M","PhD",64,"Other",64,92,"Assoc",0,4676
"2444",2444,219,"M","PhD",64,"Other",64,93,"Assoc",0,4743
"2445",2445,219,"M","PhD",64,"Other",64,94,"Assoc",0,4743
"2446",2446,219,"M","PhD",64,"Other",64,95,"Assoc",0,4951
"2447",2447,220,"F","PhD",73,"Other",73,76,"Assist",0,1639
"2448",2448,220,"F","PhD",73,"Other",73,77,"Assist",0,1797
"2449",2449,220,"F","PhD",73,"Other",73,78,"Assist",0,1731
"2450",2450,220,"F","PhD",73,"Other",73,79,"Assist",0,1922
"2451",2451,220,"F","PhD",73,"Other",73,80,"Assoc",0,2124
"2452",2452,220,"F","PhD",73,"Other",73,81,"Assoc",0,2122.667
"2453",2453,220,"F","PhD",73,"Other",73,82,"Assoc",0,2388
"2454",2454,220,"F","PhD",73,"Other",73,83,"Assoc",0,2668
"2455",2455,220,"F","PhD",73,"Other",73,84,"Assoc",0,2848
"2456",2456,220,"F","PhD",73,"Other",73,85,"Full",0,2931
"2457",2457,220,"F","PhD",73,"Other",73,86,"Full",0,3583
"2458",2458,220,"F","PhD",73,"Other",73,87,"Full",0,3764
"2459",2459,220,"F","PhD",73,"Other",73,88,"Full",0,3986
"2460",2460,220,"F","PhD",73,"Other",73,89,"Full",0,4264
"2461",2461,220,"F","PhD",73,"Other",73,90,"Full",0,4337
"2462",2462,220,"F","PhD",73,"Other",73,91,"Full",0,4538
"2463",2463,220,"F","PhD",73,"Other",73,92,"Full",0,4670
"2464",2464,220,"F","PhD",73,"Other",73,93,"Full",1,5016
"2465",2465,220,"F","PhD",73,"Other",73,94,"Full",0,4737
"2466",2466,220,"F","PhD",73,"Other",73,95,"Full",0,4875
"2467",2467,221,"M","PhD",85,"Other",89,89,"Assist",0,3396
"2468",2468,221,"M","PhD",85,"Other",89,90,"Assist",0,3455
"2469",2469,221,"M","PhD",85,"Other",89,91,"Assist",0,3667
"2470",2470,221,"M","PhD",85,"Other",89,92,"Assist",0,3883
"2471",2471,221,"M","PhD",85,"Other",89,93,"Assist",0,4053
"2472",2472,221,"M","PhD",85,"Other",89,94,"Assist",0,4053
"2473",2473,221,"M","PhD",85,"Other",89,95,"Assoc",0,4610
"2474",2474,222,"F","PhD",92,"Other",94,94,"Assist",0,3459
"2475",2475,222,"F","PhD",92,"Other",94,95,"Assist",0,3823.333
"2476",2476,225,"M","PhD",74,"Other",79,79,"Assist",0,2040
"2477",2477,225,"M","PhD",74,"Other",79,80,"Assist",0,2162
"2478",2478,225,"M","PhD",74,"Other",79,81,"Assoc",0,2567
"2479",2479,225,"M","PhD",74,"Other",79,82,"Assoc",0,2758
"2480",2480,225,"M","PhD",74,"Other",79,83,"Assoc",0,2910
"2481",2481,225,"M","PhD",74,"Other",79,84,"Assoc",0,3290
"2482",2482,225,"M","PhD",74,"Other",79,85,"Assoc",0,3290
"2483",2483,225,"M","PhD",74,"Other",79,86,"Full",0,3909
"2484",2484,225,"M","PhD",74,"Other",79,87,"Full",0,4105
"2485",2485,225,"M","PhD",74,"Other",79,88,"Full",0,4410
"2486",2486,225,"M","PhD",74,"Other",79,89,"Full",0,4718
"2487",2487,225,"M","PhD",74,"Other",79,90,"Full",0,4939
"2488",2488,225,"M","PhD",74,"Other",79,91,"Full",0,5242
"2489",2489,225,"M","PhD",74,"Other",79,92,"Full",0,5472
"2490",2490,225,"M","PhD",74,"Other",79,93,"Full",0,5631
"2491",2491,225,"M","PhD",74,"Other",79,94,"Full",0,5631
"2492",2492,225,"M","PhD",74,"Other",79,95,"Full",0,5962
"2493",2493,227,"M","PhD",86,"Prof",92,92,"Assoc",0,5712
"2494",2494,227,"M","PhD",86,"Prof",92,93,"Assoc",0,6048
"2495",2495,227,"M","PhD",86,"Prof",92,94,"Assoc",0,6048
"2496",2496,227,"M","PhD",86,"Prof",92,95,"Assoc",0,6404
"2497",2497,228,"M","PhD",72,"Other",75,76,"Assist",0,1322
"2498",2498,228,"M","PhD",72,"Other",75,77,"Assist",0,1574
"2499",2499,228,"M","PhD",72,"Other",75,78,"Assist",0,1693.939
"2500",2500,228,"M","PhD",72,"Other",75,79,"Assist",0,1944
"2501",2501,228,"M","PhD",72,"Other",75,80,"Assoc",0,2376
"2502",2502,228,"M","PhD",72,"Other",75,81,"Assoc",0,2719
"2503",2503,228,"M","PhD",72,"Other",75,82,"Assoc",0,3034.848
"2504",2504,228,"M","PhD",72,"Other",75,83,"Assoc",0,3170
"2505",2505,228,"M","PhD",72,"Other",75,84,"Assoc",0,3534
"2506",2506,228,"M","PhD",72,"Other",75,85,"Full",0,3636
"2507",2507,228,"M","PhD",72,"Other",75,86,"Full",0,4446
"2508",2508,228,"M","PhD",72,"Other",75,87,"Full",0,4669
"2509",2509,228,"M","PhD",72,"Other",75,88,"Full",0,4874
"2510",2510,228,"M","PhD",72,"Other",75,89,"Full",0,5290
"2511",2511,228,"M","PhD",72,"Other",75,90,"Full",0,5617
"2512",2512,228,"M","PhD",72,"Other",75,91,"Full",0,6135
"2513",2513,228,"M","PhD",72,"Other",75,92,"Full",0,6313
"2514",2514,228,"M","PhD",72,"Other",75,93,"Full",0,6496
"2515",2515,228,"M","PhD",72,"Other",75,94,"Full",0,6496
"2516",2516,228,"M","PhD",72,"Other",75,95,"Full",0,6781
"2517",2517,232,"M","PhD",59,"Other",60,76,"Full",0,2549
"2518",2518,232,"M","PhD",59,"Other",60,77,"Full",0,2795.522
"2519",2519,232,"M","PhD",59,"Other",60,78,"Full",0,2964
"2520",2520,232,"M","PhD",59,"Other",60,79,"Full",0,3260
"2521",2521,232,"M","PhD",59,"Other",60,80,"Full",0,3579
"2522",2522,232,"M","PhD",59,"Other",60,81,"Full",0,4174
"2523",2523,232,"M","PhD",59,"Other",60,82,"Full",0,4485
"2524",2524,232,"M","PhD",59,"Other",60,83,"Full",0,5206.061
"2525",2525,232,"M","PhD",59,"Other",60,84,"Full",0,5746
"2526",2526,232,"M","PhD",59,"Other",60,85,"Full",0,5746
"2527",2527,232,"M","PhD",59,"Other",60,86,"Full",1,6540
"2528",2528,232,"M","PhD",59,"Other",60,87,"Full",1,6868
"2529",2529,232,"M","PhD",59,"Other",60,88,"Full",1,7875
"2530",2530,232,"M","PhD",59,"Other",60,89,"Full",1,9051
"2531",2531,232,"M","PhD",59,"Other",60,90,"Full",0,8704.478
"2532",2532,232,"M","PhD",59,"Other",60,91,"Full",0,9820
"2533",2533,232,"M","PhD",59,"Other",60,92,"Full",0,9952
"2534",2534,232,"M","PhD",59,"Other",60,93,"Full",0,9286
"2535",2535,232,"M","PhD",59,"Other",60,94,"Full",0,9286
"2536",2536,232,"M","PhD",59,"Other",60,95,"Full",0,9421
"2537",2537,233,"M","PhD",71,"Prof",76,76,"Assoc",0,1806
"2538",2538,233,"M","PhD",71,"Prof",76,77,"Assoc",1,2152
"2539",2539,233,"M","PhD",71,"Prof",76,78,"Assoc",1,2380
"2540",2540,233,"M","PhD",71,"Prof",76,79,"Assoc",1,2674
"2541",2541,233,"M","PhD",71,"Prof",76,80,"Assoc",1,2957
"2542",2542,233,"M","PhD",71,"Prof",76,81,"Full",0,3307.463
"2543",2543,233,"M","PhD",71,"Prof",76,82,"Full",0,3322
"2544",2544,233,"M","PhD",71,"Prof",76,83,"Full",1,4099
"2545",2545,233,"M","PhD",71,"Prof",76,84,"Full",1,4279
"2546",2546,233,"M","PhD",71,"Prof",76,85,"Full",1,4290
"2547",2547,233,"M","PhD",71,"Prof",76,86,"Full",0,4446
"2548",2548,233,"M","PhD",71,"Prof",76,87,"Full",0,4669
"2549",2549,233,"M","PhD",71,"Prof",76,88,"Full",0,4669
"2550",2550,233,"M","PhD",71,"Prof",76,89,"Full",0,4925
"2551",2551,233,"M","PhD",71,"Prof",76,90,"Full",0,5229
"2552",2552,233,"M","PhD",71,"Prof",76,91,"Full",0,5394
"2553",2553,233,"M","PhD",71,"Prof",76,92,"Full",0,5472
"2554",2554,233,"M","PhD",71,"Prof",76,93,"Full",0,5631
"2555",2555,233,"M","PhD",71,"Prof",76,94,"Full",0,5631
"2556",2556,233,"M","PhD",71,"Prof",76,95,"Full",0,5794
"2557",2557,234,"M","PhD",63,"Other",86,86,"Full",0,7126
"2558",2558,234,"M","PhD",63,"Other",86,87,"Full",0,7483
"2559",2559,234,"M","PhD",63,"Other",86,88,"Full",0,7591
"2560",2560,234,"M","PhD",63,"Other",86,89,"Full",0,8239
"2561",2561,234,"M","PhD",63,"Other",86,90,"Full",0,8748
"2562",2562,234,"M","PhD",63,"Other",86,91,"Full",0,9025
"2563",2563,234,"M","PhD",63,"Other",86,92,"Full",0,9154
"2564",2564,234,"M","PhD",63,"Other",86,93,"Full",0,9286
"2565",2565,234,"M","PhD",63,"Other",86,94,"Full",0,9286
"2566",2566,234,"M","PhD",63,"Other",86,95,"Full",0,9556
"2567",2567,236,"F","PhD",72,"Other",74,76,"Assist",0,1562
"2568",2568,236,"F","PhD",72,"Other",74,77,"Assist",0,1680
"2569",2569,236,"F","PhD",72,"Other",74,78,"Assist",0,1754
"2570",2570,236,"F","PhD",72,"Other",74,79,"Assist",0,2039
"2571",2571,236,"F","PhD",72,"Other",74,80,"Assist",0,2162
"2572",2572,236,"F","PhD",72,"Other",74,81,"Assoc",0,2391
"2573",2573,236,"F","PhD",72,"Other",74,82,"Assoc",0,2496
"2574",2574,236,"F","PhD",72,"Other",74,83,"Assoc",0,2748
"2575",2575,236,"F","PhD",72,"Other",74,84,"Assoc",0,3020
"2576",2576,236,"F","PhD",72,"Other",74,85,"Assoc",0,3020
"2577",2577,236,"F","PhD",72,"Other",74,86,"Full",0,3745
"2578",2578,236,"F","PhD",72,"Other",74,87,"Full",0,3933
"2579",2579,236,"F","PhD",72,"Other",74,88,"Full",0,4225
"2580",2580,236,"F","PhD",72,"Other",74,89,"Full",0,4520
"2581",2581,236,"F","PhD",72,"Other",74,90,"Full",0,4800
"2582",2582,236,"F","PhD",72,"Other",74,91,"Full",0,6135
"2583",2583,236,"F","PhD",72,"Other",74,92,"Full",0,6590
"2584",2584,236,"F","PhD",72,"Other",74,93,"Full",0,6781
"2585",2585,236,"F","PhD",72,"Other",74,94,"Full",0,6781
"2586",2586,236,"F","PhD",72,"Other",74,95,"Full",0,6977
"2587",2587,237,"M","PhD",95,"Other",95,95,"Assist",0,4225
"2588",2588,238,"M","PhD",63,"Arts",62,76,"Full",0,2726
"2589",2589,238,"M","PhD",63,"Arts",62,77,"Full",0,2932
"2590",2590,238,"M","PhD",63,"Arts",62,78,"Full",0,3021
"2591",2591,238,"M","PhD",63,"Arts",62,79,"Full",0,3314
"2592",2592,238,"M","PhD",63,"Arts",62,80,"Full",0,3546
"2593",2593,238,"M","PhD",63,"Arts",62,81,"Full",0,3922.388
"2594",2594,238,"M","PhD",63,"Arts",62,82,"Full",0,4057
"2595",2595,238,"M","PhD",63,"Arts",62,84,"Full",0,4442
"2596",2596,238,"M","PhD",63,"Arts",62,85,"Full",0,4442
"2597",2597,238,"M","PhD",63,"Arts",62,86,"Full",0,4575
"2598",2598,238,"M","PhD",63,"Arts",62,87,"Full",0,4805
"2599",2599,238,"M","PhD",63,"Arts",62,88,"Full",0,4874
"2600",2600,238,"M","PhD",63,"Arts",62,89,"Full",0,5215
"2601",2601,238,"M","PhD",63,"Arts",62,90,"Full",0,5381
"2602",2602,238,"M","PhD",63,"Arts",62,91,"Full",0,5712
"2603",2603,238,"M","PhD",63,"Arts",62,92,"Full",0,5878
"2604",2604,238,"M","PhD",63,"Arts",62,93,"Full",0,5962
"2605",2605,238,"M","PhD",63,"Arts",62,94,"Full",0,5962
"2606",2606,238,"M","PhD",63,"Arts",62,95,"Full",0,6135
"2607",2607,239,"M","PhD",70,"Other",78,78,"Assist",0,2056
"2608",2608,239,"M","PhD",70,"Other",78,79,"Assist",0,2378
"2609",2609,239,"M","PhD",70,"Other",78,80,"Assist",0,2605
"2610",2610,239,"M","PhD",70,"Other",78,81,"Assist",0,2962
"2611",2611,239,"M","PhD",70,"Other",78,82,"Assoc",0,3182
"2612",2612,239,"M","PhD",70,"Other",78,83,"Assoc",0,3357
"2613",2613,239,"M","PhD",70,"Other",78,84,"Assoc",0,3586
"2614",2614,239,"M","PhD",70,"Other",78,85,"Assoc",0,4089
"2615",2615,239,"M","PhD",70,"Other",78,86,"Assoc",0,4353
"2616",2616,239,"M","PhD",70,"Other",78,87,"Assoc",0,4571
